case_id,sector,source_row,corruption,original_time,original_flux,corrupted_time,corrupted_flux,retained_after_finite_filter
corrupted_normal,1,713,nonfinite_flux,14.854166666666666,1.0006099891818974,14.854166666666666,,False
corrupted_normal,1,652,nonfinite_flux,13.583333333333332,1.0004475311009953,13.583333333333332,,False
corrupted_normal,1,420,nonfinite_flux,8.75,0.9995378413447734,8.75,,False
corrupted_normal,1,1147,nonfinite_flux,23.895833333333332,1.0000202232318722,23.895833333333332,,False
corrupted_normal,1,1051,nonfinite_flux,21.895833333333332,0.9997716353484448,21.895833333333332,,False
corrupted_normal,1,172,nonfinite_flux,3.583333333333333,0.9998348127484172,3.583333333333333,,False
corrupted_normal,1,286,nonfinite_flux,5.958333333333333,0.9979716677077368,5.958333333333333,,False
corrupted_normal,1,473,nonfinite_flux,9.854166666666666,0.9991613211764113,9.854166666666666,,False
corrupted_normal,1,715,nonfinite_flux,14.895833333333332,1.0000226389053257,14.895833333333332,,False
corrupted_normal,1,435,nonfinite_flux,9.0625,1.0000242830085113,9.0625,,False
corrupted_normal,1,942,nonfinite_flux,19.625,1.0008375913636323,19.625,,False
corrupted_normal,1,786,nonfinite_flux,16.375,0.9999827280741685,16.375,,False
corrupted_normal,1,1042,nonfinite_flux,21.708333333333332,1.0000484155611267,21.708333333333332,,False
corrupted_normal,1,40,nonfinite_flux,0.8333333333333333,0.9997123428403818,0.8333333333333333,,False
corrupted_normal,1,790,nonfinite_flux,16.458333333333332,1.001814792212486,16.458333333333332,,False
corrupted_normal,1,397,nonfinite_flux,8.270833333333332,0.9995301307659579,8.270833333333332,,False
corrupted_normal,1,881,nonfinite_time,18.354166666666664,0.9990795621595737,,0.9990795621595737,False
corrupted_normal,1,855,nonfinite_time,17.8125,1.001030025831759,,1.001030025831759,False
corrupted_normal,1,551,nonfinite_time,11.479166666666666,1.0005414588001942,,1.0005414588001942,False
corrupted_normal,1,315,nonfinite_time,6.5625,0.9992324364653176,,0.9992324364653176,False
corrupted_normal,1,296,nonfinite_time,6.166666666666666,1.0002256197324548,,1.0002256197324548,False
corrupted_normal,1,1105,nonfinite_time,23.020833333333332,1.0009313441499164,,1.0009313441499164,False
corrupted_normal,1,120,nonfinite_time,2.5,0.9998287829572942,,0.9998287829572942,False
