case_id,category,truth_positive,truth_period_days,signal_depth_percent,primary_detected,primary_period_days,primary_event_count,replication_detected,replication_period_days,replication_depth_snr,period_agreement
normal_white_1,known_normal,False,,0.0,False,,0,False,15.68119266055046,4.628602743539265,False
normal_white_2,known_normal,False,,0.0,False,,0,False,3.9449541284403673,4.949331375839657,False
sinusoidal_variable,known_variable,False,,0.0,False,0.8422885840436506,15,True,4.201834862385321,23.363845231844575,False
sinusoidal_variable_fast,known_variable,False,,0.0,True,1.7300029011239388,39,True,1.7293577981651378,34.33196835809777,True
known_transit,known_transit_or_eclipse,True,5.137,0.8,True,5.137668199131496,14,True,5.13302752293578,66.85011305393934,True
known_eclipse,known_transit_or_eclipse,True,3.29,3.5000000000000004,True,1.6449247295774907,43,True,3.2866972477064222,301.067187659565,True
corrupted_normal,deliberately_corrupted,False,,0.0,False,1.1066919191919191,12,True,16.46788990825688,46.763882915311925,False
corrupted_eclipse,deliberately_corrupted,True,4.17,2.5,True,2.085427380079561,37,True,4.169724770642202,265.75790587882796,True
injection_0.25pct_trial_1,synthetic_injection,True,5.137,0.25,False,5.135472083290687,10,False,5.13302752293578,20.974156956248795,True
injection_0.25pct_trial_2,synthetic_injection,True,5.137,0.25,False,5.137927263502532,10,False,5.13302752293578,20.018628094914014,True
injection_0.25pct_trial_3,synthetic_injection,True,5.137,0.25,False,5.136057441928148,11,False,5.13302752293578,21.82219072834082,True
injection_0.50pct_trial_1,synthetic_injection,True,5.137,0.5,True,5.137541491810766,14,True,5.13302752293578,42.557933221954826,True
injection_0.50pct_trial_2,synthetic_injection,True,5.137,0.5,True,5.138059568818275,14,True,5.13302752293578,42.602880653604515,True
injection_0.50pct_trial_3,synthetic_injection,True,5.137,0.5,True,5.138907236225091,14,True,5.13302752293578,40.875863459640584,True
injection_1.00pct_trial_1,synthetic_injection,True,5.137,1.0,True,5.137491227406967,14,True,5.13302752293578,81.27722618794247,True
injection_1.00pct_trial_2,synthetic_injection,True,5.137,1.0,True,5.136959189262159,14,True,5.13302752293578,82.83820749236303,True
injection_1.00pct_trial_3,synthetic_injection,True,5.137,1.0,True,5.136846960142054,14,True,5.13302752293578,84.11323702566902,True
injection_2.00pct_trial_1,synthetic_injection,True,5.137,2.0,True,5.136306076046148,14,True,5.13302752293578,165.89979579912733,True
injection_2.00pct_trial_2,synthetic_injection,True,5.137,2.0,True,5.1375017900851,14,True,5.13302752293578,170.89841960079153,True
injection_2.00pct_trial_3,synthetic_injection,True,5.137,2.0,True,5.137528280246149,14,True,5.13302752293578,155.86082493244012,True
TIC_31065777_empirical_repeat,empirical_public_tess_regression,True,40.5717302229,6.207177,True,40.57154436016681,6,False,99.58611342785655,72.29374951093236,False
